property_type,society,sector,price_in_cr,price_per_sqft,bedroom,bathroom,balcony,facing,agepossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
house,Independent,Sector 55,4.6,21296,3,3,3,north,Old,2164,0,1,1,1,0,Un-furnished,Average,Low-rise
flat,La Vida By Tata Housing,Sector 113,3.35,12444,4,4,3+,north-east,Relatively New,2971,1,1,0,0,0,Un-furnished,High,High-rise
flat,Essel Towers,Sector 14,2.75,12500,4,2,3+,east,Old,2200,1,1,0,0,0,Furnished,Medium,Mid-rise
flat,Elan The Presidential,Sector 106,3.9,15918,3,3,0,north-east,Relatively New,2450,0,0,0,0,0,Semi-furnished,Medium,High-rise
house,DLF City Plots Phase,Sector 24,1.6,3303,2,2,1,east,Old,4844,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Indiabulls Centrum Park,Sector 103,1.65,8250,3,3,3+,north-east,Relatively New,1678,1,0,0,0,0,Semi-furnished,Average,High-rise
flat,Shree Vardhman Victoria,Sector 70,1.23,9111,2,2,3,north-east,Relatively New,1222,1,0,0,0,0,Semi-furnished,Average,Low-rise
flat,Ansal Height Height Housing Highland Park,Sector 103,1.1,6242,3,3,3+,north-east,New Property,1500,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Smart World Gems,Sector 89,0.9,8159,2,2,2,east,New Property,998,1,0,0,0,1,Semi-furnished,Average,Low-rise
flat,Shree Vardhman Flora,Sector 90,0.65,5000,2,2,2,east,Old,1176,1,0,0,0,0,Semi-furnished,Medium,High-rise
flat,Godrej Aria,Sector 79,1.7,7426,3,4,3+,east,New Property,1654,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Rail Vihar Cghs,Sector 56,1.35,10384,3,2,2,west,Old,1275,0,0,0,0,1,Semi-furnished,High,Low-rise
flat,Imperia The Esfera,Sector 37C,0.85,5386,2,3,3,south-east,Relatively New,1437,1,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,The Lions Cghs,Sector 56,1.99,11055,4,1,3+,east,Old,2000,0,0,0,1,1,Un-furnished,Medium,Mid-rise
flat,DLF Regal Gardens,Sector 90,1.29,9020,3,3,3,east,Relatively New,1540,1,0,0,0,0,Semi-furnished,High,Mid-rise
house,Unitech Uniworld Resorts,Sector 33,11.0,24448,5,2,1,east,New Property,4509,1,1,0,0,0,Semi-furnished,Medium,Low-rise
house,International City By Sobha Phase,Sector 109,12.5,27782,5,2,1,east,Relatively New,4509,1,1,1,1,0,Semi-furnished,Medium,Low-rise
flat,MVN Athens,Sohna Road,0.25,4258,2,2,1,north-east,Relatively New,587,0,0,0,0,0,Semi-furnished,Average,Basement/Ground Floor
flat,HCBS Sports Ville,Sohna Road,0.3,4011,2,2,2,north-east,Relatively New,743,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Smart World Gems,Sector 89,0.9,8145,2,2,2,north-east,New Property,1105,0,0,0,0,0,Semi-furnished,Average,Low-rise
flat,Ambience Creacions,Sector 22,4.63,14983,3,2,3+,north-east,New Property,2796,0,1,0,0,1,Semi-furnished,Medium,Mid-rise
flat,ATS Kocoon,Sector 109,1.65,10645,3,3,3,east,Relatively New,1650,0,0,1,0,0,Un-furnished,High,High-rise
house,Shri Shyam Residency,Sector 104,0.62,12400,3,3,1,east,Moderately Old,900,0,0,0,0,1,Furnished,Low,Low-rise
flat,Ireo Victory Valley,Sector 67,3.05,12650,3,3,3+,south-west,Relatively New,2023,0,1,0,0,0,Un-furnished,High,Skyscraper
flat,Emaar MGF Palm Studios,Sector 66,1.7,13502,2,2,2,north-east,Relatively New,1072,0,0,0,0,1,Semi-furnished,Medium,Mid-rise
flat,Om Apartment Dayanand Colony,Sector 5,0.26,4373,1,1,1,north-east,Relatively New,595,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Emaar  Greens,Sector 102,1.49,9030,3,3,3,north-east,Relatively New,1311,0,0,0,0,0,Un-furnished,High,High-rise
flat,Ambience Creacions,Sector 22,2.55,13709,3,3,3,north-east,Relatively New,1600,0,0,0,0,0,Furnished,Average,Mid-rise
flat,Capital Residences,Sector 70A,1.64,8299,3,1,3+,north-east,New Property,1950,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,M Woodshire,Sector 107,1.65,5960,4,2,3+,north-west,Relatively New,2505,0,1,0,0,0,Semi-furnished,Low,High-rise
flat,Lagoon Apartment,Ambience Island,6.0,13636,4,2,3+,north-east,Moderately Old,4857,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Zara Aavaas,Sector 104,0.26,7807,1,1,2,north-east,Relatively New,333,0,0,0,0,0,Semi-furnished,Medium,Basement/Ground Floor
flat,Eldeco Accolade,Sector 33,1.2,8043,2,2,2,north-east,New Property,1492,0,0,0,0,0,Semi-furnished,Average,Basement/Ground Floor
flat,CHD Avenue,Sector 71,1.25,7171,3,4,2,east,Relatively New,1577,0,1,0,0,0,Un-furnished,High,Mid-rise
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.35,14242,3,3,3,west,Relatively New,1493,1,1,0,0,0,Un-furnished,High,Low-rise
house,Independent,Sohna Road,0.82,3904,3,2,3,north,Moderately Old,2318,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,ROF Ananda,Sector 95,0.26,6842,1,1,1,north,New Property,380,0,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,Sobha City,Sector 108,2.6,15195,3,3,2,east,Relatively New,1548,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Vatika The Seven Lamps,Sector 82,0.85,6538,2,2,2,east,Relatively New,1176,0,0,0,0,0,Un-furnished,Average,Basement/Ground Floor
house,BPTP Visionnaire,Sector 70A,6.0,22222,5,4,2,north-east,New Property,2706,1,0,0,0,0,Semi-furnished,Average,Low-rise
house,Bhawani Enclave,Sector 12,0.42,8235,3,3,1,east,New Property,510,0,0,0,1,0,Semi-furnished,Low,Low-rise
flat,Global Height,Sohna Road,0.45,6338,2,2,2,east,Relatively New,784,0,0,0,0,0,Furnished,Average,Mid-rise
house,Independent,Sector 9,3.5,13410,3,3,2,north-east,Relatively New,2615,1,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Supertech Araville,Sector 79,1.0,6535,2,2,3,north-east,Relatively New,1689,1,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Conscient Heritage Max,Sector 102,2.15,9306,3,4,3,south,Relatively New,1945,1,1,0,0,0,Semi-furnished,Medium,High-rise
flat,M Woodshire,Sector 107,1.3,8922,3,1,3+,west,Relatively New,1554,0,0,0,1,0,Un-furnished,High,Mid-rise
flat,Tulip Violet,Sector 69,1.4,8928,3,3,1,north,Relatively New,1372,0,0,0,1,0,Semi-furnished,High,High-rise
flat,Parsvnath Green Ville,Sector 48,1.42,8606,3,3,3,north-west,Moderately Old,1493,0,0,1,0,0,Furnished,High,Low-rise
flat,Signature Global Infinity Mall,Sector 36,0.41,6269,2,2,3,north-east,New Property,654,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.0,12121,3,3,3,north-west,Relatively New,1821,0,1,0,0,0,Un-furnished,Medium,Low-rise
flat,Shree Vardhman Flora,Sector 90,0.66,5076,2,2,3,north-east,Relatively New,1118,1,0,0,0,0,Semi-furnished,Medium,Mid-rise
house,DLF City Plots Phase,Sector 28,9.54,29445,6,2,1,north,New Property,3247,1,1,1,1,0,Semi-furnished,High,Low-rise
house,Independent,Sector 17,0.32,5664,5,1,1,east,Moderately Old,565,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Tulip Violet,Sector 69,1.78,8855,4,4,2,north-east,Relatively New,1819,0,0,0,1,0,Un-furnished,High,High-rise
flat,M Capital,Sector 113,2.51,14800,3,3,3+,north-west,Under Construction,1534,1,0,0,0,0,Semi-furnished,Average,Low-rise
house,Independent,Sector 38,3.9,21242,2,2,3,north-east,Moderately Old,1840,1,1,0,1,0,Semi-furnished,Average,Low-rise
flat,Sare Homes,Sector 92,0.6,5000,3,2,3,north-east,Moderately Old,1325,0,0,0,0,0,Un-furnished,Average,Mid-rise
house,International City By Sobha Phase,Sector 109,6.0,24665,4,4,2,north-east,Relatively New,2435,1,1,1,1,0,Semi-furnished,High,Low-rise
house,Project Housing Board Colony,Sector 28,2.58,17695,4,2,3,east,Relatively New,1435,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,GLS Arawali Homes,Sohna Road,0.35,6076,2,2,2,north-east,New Property,576,0,0,0,0,0,Semi-furnished,Average,High-rise
house,Independent,Sector 3,0.5,11111,5,3,1,east,Moderately Old,450,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Ansal Height Height Housing Highland Park,Sector 103,2.0,7490,4,2,3+,north-east,New Property,2416,0,1,0,0,0,Semi-furnished,Average,High-rise
flat,Godrej Oasis,Sector 88A,1.3,7258,3,1,3+,north-west,Relatively New,1977,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,SS Residency Residency The Leaf,Sector 85,1.04,5973,2,1,3+,west,Relatively New,1576,0,0,1,0,0,Semi-furnished,Medium,Mid-rise
flat,Pivotal Riddhi Siddhi,Sector 99,0.4,4444,2,2,2,north-east,New Property,731,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Antriksh Heights,Sector 84,0.79,4579,3,3,3+,west,New Property,1561,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Paras Dews,Sector 106,1.15,6534,3,4,3+,east,Relatively New,1186,1,1,0,0,0,Un-furnished,High,High-rise
flat,Paras Dews,Sector 106,1.0,7220,2,2,3+,north-east,New Property,940,0,0,0,0,0,Un-furnished,Low,Low-rise
flat,Central Park Flower Valley Aqua Front Towers,Sector 33,2.1,11738,3,3,2,north-east,New Property,1619,0,0,0,0,0,Semi-furnished,Low,Mid-rise
house,Independent,Sector 40,9.0,38006,3,1,2,north-west,New Property,9000,0,1,0,0,0,Un-furnished,Medium,Mid-rise
flat,Signature Global Park,Sector 36,0.82,7585,3,2,3,north-east,New Property,1193,0,0,0,0,0,Semi-furnished,Low,Low-rise
house,Independent,Sector 31,4.6,32375,2,2,3,east,Moderately Old,1426,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,ATS Tourmaline,Sector 109,1.75,8139,3,4,3+,north-east,Relatively New,1946,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,BPTP Terra,Sector 37D,1.45,8006,3,3,3,south-east,Relatively New,1711,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,AIPL Joy Square,Sector 63A,0.7,10101,1,1,0,north-east,New Property,693,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Adani M Oyster Grande,Sector 102,4.55,10000,4,4,3+,north-east,Relatively New,4630,0,0,0,0,0,Un-furnished,Medium,High-rise
flat,Supertech Hues,Sector 68,0.93,8611,2,2,2,north-east,New Property,1192,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Bestech Park View Sanskruti,Sector 92,1.55,7769,3,4,3,north,Relatively New,1805,0,1,0,0,0,Semi-furnished,Average,Mid-rise
house,Independent,Sector 50,13.2,27131,6,2,1,east,Moderately Old,4861,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Paras Dews,Sector 106,1.05,7581,2,2,2,west,New Property,1529,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Parsvnath Exotica,Sector 53,6.5,19174,4,2,3+,south,Relatively New,3000,1,1,0,1,0,Un-furnished,High,High-rise
flat,Smart World Gems,Sector 89,0.95,8903,2,2,2,east,New Property,802,1,0,0,0,0,Semi-furnished,Medium,Low-rise
flat,DLF Regal Gardens,Sector 90,2.05,9000,4,4,3+,north-east,Relatively New,2005,0,0,0,0,0,Un-furnished,Average,Mid-rise
flat,Antriksh Heights,Sector 84,0.6,5000,2,2,2,north,Relatively New,1086,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,Eldeco Accolade,Sohna Road,0.72,4975,2,2,3+,east,Relatively New,1128,1,0,0,0,0,Semi-furnished,High,High-rise
flat,Bestech Park View City,Sector 48,4.25,9334,4,2,3+,north-east,Moderately Old,4120,1,0,0,0,0,Un-furnished,Medium,High-rise
flat,Capital Residences,Sector 70A,1.68,8502,3,3,3+,north-east,New Property,1900,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Emaar MGF The Palm Drive,Sector 66,4.6,18400,3,3,3,north,Relatively New,2873,1,1,1,1,0,Semi-furnished,Medium,High-rise
flat,Shree Vardhman Flora,Sector 90,1.0,5128,3,4,3,north-east,New Property,1765,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
house,Independent,Sector 43,9.85,26146,5,2,1,west,Old,3770,1,1,0,1,0,Semi-furnished,Low,Low-rise
flat,SS Residency Residency The Leaf,Sector 85,1.08,6585,2,2,3,north-east,New Property,1200,1,1,1,1,0,Un-furnished,High,Mid-rise
flat,Suncity Heights,Sector 54,3.85,16445,3,3,3+,north-east,Old,2119,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Experion The Heartsong,Sector 108,1.25,9259,3,3,3,south-east,Relatively New,1500,0,1,0,1,0,Semi-furnished,High,Low-rise
flat,Central Park Flower Valley Aqua Front Towers,Sector 33,2.96,13870,4,4,3,north-east,New Property,2355,0,1,0,0,0,Un-furnished,Low,Low-rise
flat,Godrej Nature Plus Serenity,Sector 33,1.45,8677,3,2,3,south,Under Construction,1512,0,0,0,0,0,Semi-furnished,Average,Low-rise
house,Ansal Height Heights Palam Vihar,Sector 2,5.0,12500,6,4,1,east,Moderately Old,4000,0,0,0,0,0,Semi-furnished,Low,Low-rise
house,Independent,Sector 14,6.5,26029,5,2,2,east,Moderately Old,2500,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,M Merlin,Sector 67,2.65,12945,3,3,3,north-east,Relatively New,1900,0,0,0,0,1,Un-furnished,High,Basement/Ground Floor
house,ATS Tourmaline,Sector 109,1.87,8697,3,4,3,east,Relatively New,2150,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Suncity Avenue,Sector 102,0.48,9022,2,2,1,north-east,Relatively New,532,0,0,1,0,0,Semi-furnished,High,Mid-rise
flat,Pareena Laxmi Apartments,Sector 99A,0.32,6106,2,2,2,north-east,New Property,524,0,0,0,0,0,Semi-furnished,Average,Low-rise
flat,Smart World Orchard,Sector 61,2.54,15500,3,3,3,north-east,New Property,1810,0,0,1,0,0,Semi-furnished,Low,Low-rise
flat,Signature Andour Heights,Sector 71,0.39,9846,1,1,2,north-east,New Property,396,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Jmd Gardens,Sector 33,3.25,7510,4,4,3+,south-east,Old,4777,0,1,0,0,0,Un-furnished,Medium,High-rise
flat,Ambience Creacions,Sector 22,6.16,20533,4,2,3+,south-east,New Property,3311,0,1,0,1,0,Un-furnished,Average,High-rise
flat,ATS Kocoon,Sector 109,1.75,10028,3,3,3,north-east,Relatively New,1550,0,0,0,1,0,Un-furnished,Average,High-rise
flat,DLF New Town Heights,Sector 90,1.65,6979,4,4,3+,south-east,Moderately Old,2139,0,1,0,0,0,Un-furnished,Medium,High-rise
flat,Professors Enclave Cghs,Sector 56,1.55,7750,3,3,3+,east,Moderately Old,1810,0,1,0,0,0,Un-furnished,Average,Mid-rise
flat,ROF Ananda,Sector 95,0.26,6032,1,1,1,north,New Property,431,0,0,0,0,0,Semi-furnished,Average,Mid-rise
house,Independent,Sector 12,1.0,7940,3,3,3,north,Moderately Old,3750,0,0,1,1,0,Semi-furnished,Low,Low-rise
house,International City By Sobha Phase,Sector 109,8.75,24338,5,2,1,north-east,New Property,3607,1,1,1,1,0,Un-furnished,High,Low-rise
flat,Zara Aavaas,Sector 104,0.49,6577,3,2,2,north-east,Relatively New,745,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Sidhartha Ncr Greens,Sector 95,0.56,5656,2,2,3,north-east,New Property,896,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Experion Windchants,Sector 112,5.49,11584,4,2,3+,south,Relatively New,3655,0,1,0,0,0,Un-furnished,High,Mid-rise
flat,Tulip Violet,Sector 69,1.29,8227,3,3,1,north-east,Relatively New,1419,0,0,0,1,0,Un-furnished,Medium,High-rise
flat,Corona Optus,Sector 37C,1.22,6912,3,4,3,south-east,Relatively New,1665,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Baani City Center,Sector 63,0.88,10945,1,1,2,north-east,New Property,804,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,DLF City,Shankar Vihar,2.02,8080,4,3,1,north-east,New Property,2262,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,SS Residency Residency Residency,Sector 6,0.48,5333,3,2,2,north-east,Moderately Old,900,0,0,0,0,0,Semi-furnished,Average,Low-rise
flat,GLS Avenue,Sector 92,0.45,7614,2,2,1,north-east,New Property,591,1,0,0,0,0,Un-furnished,Low,High-rise
flat,Independent,Sector 4,0.42,5600,2,2,1,north-east,Relatively New,828,0,0,0,0,0,Un-furnished,Low,Low-rise
house,Independent,Sector 24,11.0,28868,2,4,1,east,Old,5000,1,1,0,1,1,Un-furnished,Average,Low-rise
house,Independent,Sector 57,3.15,20349,5,4,3,north-east,Moderately Old,1551,0,0,1,0,0,Un-furnished,Medium,Low-rise
flat,GLS Arawali Homes,Sohna Road,0.29,6035,2,2,2,east,Relatively New,481,0,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,Tulip Violet,Sector 69,1.9,9452,4,4,2,south-west,Relatively New,1819,0,0,0,0,0,Semi-furnished,Average,Basement/Ground Floor
flat,Unitech Sunbreeze,Sector 69,1.0,5476,4,3,0,north-east,Relatively New,1826,0,0,0,0,0,Semi-furnished,Low,Basement/Ground Floor
flat,Raheja Navodaya,Sector 92,0.85,5407,3,3,0,east,Relatively New,1423,0,0,0,0,0,Semi-furnished,Medium,Basement/Ground Floor
flat,DLF New Town Heights,Sector 90,1.15,5958,3,3,3+,north-west,Relatively New,1747,0,1,0,1,0,Semi-furnished,Medium,Mid-rise
flat,Tata Primanti,Sector 72,4.0,16032,4,2,3+,west,Relatively New,2691,0,1,0,0,0,Un-furnished,High,Skyscraper
flat,Global Hill View,Sector 11,0.36,5150,2,2,0,north-east,Relatively New,699,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Eldeco Accolade,Sohna Road,0.95,6542,2,2,3+,east,New Property,1126,1,0,0,0,0,Un-furnished,Average,Mid-rise
flat,DLF City Plots Phase,Sector 24,6.5,18571,4,2,3+,north-east,New Property,3863,0,1,0,0,0,Furnished,Average,Low-rise
flat,Ansal Height Height Heights,Sector 86,0.87,5367,2,2,1,north-east,New Property,1231,0,0,0,0,1,Un-furnished,Average,High-rise
flat,Supertech Araville,Sector 79,1.1,5641,3,3,3,north-east,Relatively New,2152,0,0,0,0,0,Un-furnished,Medium,Low-rise
house,Independent,Sector 14,5.51,16990,3,3,1,south-west,Moderately Old,3256,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Shapoorji Pallonji Joyville,Sector 102,1.42,10380,2,2,3,north-east,Relatively New,1368,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Ireo Skyon,Sector 60,2.15,23344,2,3,2,east,Relatively New,1250,0,1,0,0,0,Un-furnished,Average,Mid-rise
house,Independent,Sector 105,1.2,13333,3,2,1,south-west,Moderately Old,900,0,0,0,0,1,Semi-furnished,Low,Low-rise
house,Sneh Vihar,Sohna Road,1.35,10000,5,2,3,east,Relatively New,1350,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,AVL,Sector 36A,0.75,7500,2,2,2,north-east,Relatively New,854,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Spaze Privy,Sector 72,1.9,9620,3,3,3,north-east,Moderately Old,1787,0,1,0,0,0,Un-furnished,Average,High-rise
flat,The Arzoo Cghs,Sector 51,2.1,9130,4,4,3,north-east,Relatively New,2300,0,0,0,0,0,Semi-furnished,Medium,Low-rise
flat,ATS Triumph,Sector 104,2.63,9563,4,4,3+,north,Relatively New,2943,0,1,0,0,0,Un-furnished,High,Skyscraper
flat,Mapsko Mount Ville,Sector 79,1.5,8264,3,4,3+,south,Relatively New,1412,0,1,0,0,0,Un-furnished,Medium,High-rise
flat,Smart World Gems,Sector 89,1.05,9519,2,2,2,north-east,Under Construction,1103,1,0,0,0,1,Semi-furnished,Average,Mid-rise
flat,Signature Global Solera,Sector 107,0.5,7751,3,2,2,south-east,Relatively New,712,0,0,0,0,1,Semi-furnished,Low,Mid-rise
flat,Emaar  Greens,Sector 102,1.39,8424,3,3,3,west,Relatively New,1493,0,1,0,0,0,Un-furnished,Low,Mid-rise
flat,Emaar  Greens,Sector 102,1.3,7878,3,3,3,north-east,Relatively New,1384,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Vatika Lifestyle Homes,Sector 83,1.15,6552,3,2,3,north-east,Relatively New,1588,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,The Pearl Apartmen,Sector 15,0.43,5584,2,2,1,north-east,Relatively New,850,0,0,0,0,0,Un-furnished,Low,Low-rise
flat,ATS Triumph,Sector 104,2.0,8733,3,1,3+,north-east,Relatively New,2072,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.35,14242,3,1,2,east,Relatively New,1650,1,1,0,0,0,Semi-furnished,High,Mid-rise
flat,Tulip Violet,Sector 69,2.0,9583,4,4,2,south-east,Relatively New,1889,0,0,0,0,0,Semi-furnished,High,Basement/Ground Floor
house,Tata Primanti,Sector 72,8.5,13492,5,3,1,east,Relatively New,6300,1,1,1,1,0,Un-furnished,Medium,High-rise
flat,DLF New Town Heights,Sector 90,1.51,6387,4,4,3+,south,Relatively New,2362,0,1,0,1,0,Un-furnished,Medium,Mid-rise
flat,Mapsko Casa Bella,Sector 82,1.3,6378,4,4,3+,north,Relatively New,1774,0,1,0,0,0,Semi-furnished,Medium,Low-rise
flat,ROF Ananda,Sector 95,0.32,5736,2,2,1,north,Relatively New,558,0,0,0,1,0,Un-furnished,Average,High-rise
flat,Signature Global City,Sector 81,0.89,8279,2,2,2,north,New Property,1187,0,0,0,0,1,Semi-furnished,Low,Low-rise
flat,M Soulitude,Sector 89,1.33,16985,3,1,3,north-west,New Property,1423,1,0,0,0,0,Semi-furnished,Medium,Mid-rise
house,Shivaji Nagar Residential,Sector 11,3.08,11407,6,4,2,east,Relatively New,2700,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Vatika,Sector 83,1.4,7179,4,4,3,north-east,Relatively New,2152,0,1,0,0,0,Semi-furnished,Average,High-rise
flat,Bestech Park View Ananda,Sector 81,0.95,6985,2,2,2,south-east,Relatively New,1150,0,0,0,0,0,Un-furnished,High,High-rise
flat,Vatika,Sector 83,1.18,6801,3,3,2,north,Relatively New,1613,0,0,0,0,0,Semi-furnished,Low,High-rise
house,Naman Residency,Sector 4,0.5,11111,2,2,1,west,New Property,450,1,1,0,1,1,Semi-furnished,Low,Low-rise
flat,AIPL The Peaceful Homes,Sector 70A,2.5,10638,3,4,3,south,Relatively New,2127,0,1,1,0,0,Un-furnished,High,Mid-rise
flat,Ramprastha The Edge Towers,Sector 37D,1.1,5528,3,3,3,north-east,Relatively New,1990,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.85,14430,4,4,3,south-west,Relatively New,1800,1,1,0,0,0,Semi-furnished,Low,Low-rise
flat,Conscient Heritage Max,Sector 102,3.0,10489,4,4,3+,east,Relatively New,3157,0,0,0,0,1,Un-furnished,Medium,Mid-rise
